"","target_id","ext_gene","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"13416","ENSMUSG00000028487","Bnc2",5,13.5701588193627,0.525369644752735,0.581316777747259
"13417","ENSMUSG00000040663","Clcf1",2,5.6950354333832,0.525515335603308,0.581407888626034
"13418","ENSMUSG00000044595","Dnd1",1,1.36094372106033,0.525598488583159,0.581456548258191
"13419","ENSMUSG00000012640","Zfp715",2,4.36635559867931,0.526126419648517,0.581997210914568
"13420","ENSMUSG00000041607","Mbp",3,6.31159471399974,0.526268027938089,0.582110477400373
"13421","ENSMUSG00000005360","Slc1a3",3,5.73406508103481,0.526427472137031,0.582243454019975
"13422","ENSMUSG00000034987","Hrh2",1,1.76242923254077,0.526519979443161,0.582302382271962
"13423","ENSMUSG00000048856","Slc25a47",1,1.55337286124421,0.527148781250032,0.582954370027227
"13424","ENSMUSG00000038683","Pak1ip1",4,10.8883303769746,0.527524564962172,0.583283027359291
"13425","ENSMUSG00000027338","Prnd",1,2.34909265484288,0.527491262081594,0.583283027359291
"13426","ENSMUSG00000026983","Il36rn",3,13.4133925223475,0.527602818523981,0.583326101457617
"13427","ENSMUSG00000034607","Pof1b",1,6.35334421060505,0.52774136051053,0.583434548501001
"13428","ENSMUSG00000078144","Capns2",1,4.52997897717967,0.527863799981061,0.583434548501001
"13429","ENSMUSG00000021483","Cdk20",2,4.59693441044616,0.527840315747743,0.583434548501001
"13430","ENSMUSG00000038578","Susd1",2,3.5166872119664,0.527897427978775,0.583434548501001
"13431","ENSMUSG00000052336","Cx3cr1",1,3.05672246947647,0.527836456247671,0.583434548501001
"13432","ENSMUSG00000051879","Krt71",1,3.9425700011401,0.528196347496578,0.583721454901668
"13433","ENSMUSG00000050697","Prkaa1",1,4.77695760152538,0.528270317889629,0.583759740843717
"13434","ENSMUSG00000078202","Nrarp",1,4.7431067070941,0.528534840900396,0.584008573643403
